iter	Passed	Remaining
406	8794	12813
407	8811	12785
408	8832	12762
409	8854	12742
410	8874	12717
411	8893	12692
412	8911	12666
413	8931	12641
414	8952	12619
415	8986	12615
416	9017	12606
417	9043	12591
418	9064	12569
419	9084	12545
420	9106	12524
421	9137	12514
422	9160	12495
423	9182	12474
424	9207	12457
425	9232	12439
426	9254	12419
427	9275	12395
428	9293	12370
429	9311	12343
430	9342	12333
431	9367	12316
432	9400	12309
433	9422	12288
434	9443	12265
435	9464	12243
436	9482	12216
437	9536	12235
438	9559	12216
439	9583	12197
440	9605	12175
441	9627	12154
442	9649	12133
443	9677	12118
444	9692	12088
445	9719	12073
446	9758	12072
447	9798	12072
448	9821	12052
449	9843	12030
450	9878	12025
451	9909	12014
452	9928	11988
453	9954	11971
454	9973	11946
455	9998	11928
456	10024	11911
457	10045	11888
458	10065	11863
459	10092	11847
460	10114	11825
461	10139	11806
462	10161	11785
463	10186	11767
464	10209	11746
465	10233	11727
466	10255	11705
467	10286	11693
468	10306	11669
469	10337	11657
470	10364	11640
471	10388	11620
472	10417	11606
473	10445	11591
474	10470	11573
475	10493	11552
476	10515	11529
477	10542	11512
478	10582	11510
479	10614	11499
480	10635	11476
481	10664	11460
482	10688	11441
483	10714	11422
484	10733	11397
485	10758	11378
486	10783	11359
487	10806	11338
488	10827	11315
489	10838	11281
490	10871	11269
491	10900	11255
492	10932	11243
493	10957	11223
494	10988	11210
495	11015	11192
496	11057	11191
497	11083	11172
498	11112	11156
499	11138	11138
500	11162	11118
501	11182	11093
502	11213	11079
503	11241	11063
504	11258	11035
505	11283	11015
506	11309	10997
507	11339	10981
508	11361	10959
509	11386	10939
510	11406	10915
511	11430	10894
512	11455	10874
513	11477	10852
514	11500	10830
515	11525	10811
516	11547	10787
517	11572	10768
518	11593	10744
519	11619	10725
520	11645	10706
521	11663	10680
522	11695	10666
523	11717	10644
524	11762	10641
525	11783	10618
526	11805	10595
527	11828	10573
528	11851	10552
529	11869	10525
530	11885	10497
531	11905	10472
532	11925	10449
533	11951	10429
534	11977	10410
535	12000	10388
536	12024	10367
537	12043	10341
538	12057	10312
539	12071	10282
540	12087	10255
541	12109	10232
542	12127	10207
543	12147	10182
544	12169	10159
545	12194	10139
546	12221	10121
547	12242	10097
548	12269	10079
549	12291	10056
550	12317	10037
551	12337	10013
552	12357	9989
553	12377	9964
554	12400	9942
555	12427	9923
556	12450	9902
557	12469	9877
558	12492	9855
559	12514	9832
560	12538	9812
561	12568	9795
562	12590	9773
563	12608	9747
564	12633	9727
565	12656	9704
566	12676	9680
567	12700	9659
568	12726	9639
569	12743	9613
570	12773	9596
571	12802	9579
572	12836	9565
573	12857	9541
574	12875	9516
575	12898	9494
576	12919	9471
577	12938	94465578	12963	94255579	12984	94025580	13002	93765581	13021	93515582	13042	93285583	13057	93015584	13075	92765585	13095	92515586	13115	92275587	13135	92035588	13152	91775589	13173	91545590	13194	91315591	13210	91045592	13232	90825593	13249	90565594	13264	90295595	13280	90025596	13299	8977597	13323	8956
5598	13339	8930599	13364	8909
6600	13377	88816601	13396	88566602	13414	8831603	13451	8819
604	13472	8796
605	13495	8774
606	13517	8751
607	13541	8730
608	13560	8706
609	13579	8681
610	13603	8661
611	13624	8638
612	13645	8614
613	13660	8588
614	13678	8562
615	13697	8538
616	13719	8516
617	13755	8502
618	13771	8476
619	13789	8451
620	13812	8429
621	13836	8408
622	13857	8385
623	13880	8363
624	13901	8340
625	13921	8317
626	13939	8292
627	13959	8268
628	13981	8246
629	14003	8224
630	14021	8199
631	14041	8175
