iter	Logloss
0	0.6719176421
1	0.65332656422	0.633885718733	0.621328520644	0.608992615	05	0.595980666	06	0.584900187	7	0.5756773158	8	0.5672825249	9	0.560442881110	0.6332848349111	0.6298277637112	0.6267632294113	0.623780316
14	0.6208799054
15	0.6182211248
16	0.615879758
17	0.6135485065
18	0.6112750331
19	0.6093366704
20	0.6075047569
21	0.6058886063
22	0.6044705792
223	0.158038196324	0.6015555785
225	0.2478618077226	0.2435060822727	0.2411865042828	0.237768463229	0.2356897583030	0.2330412233131	0.2305026832	32	0.2287156333	33	0.2274181434	0.5912012666
3535	0.12849183436	0.5896022533
3337	0.1260020103338	0.124837124339	0.2161474119440	0.2151364981441	0.2135115035442	0.2125963586443	0.211300896444	0.2105241414545	0.20966654
46	0.2089390971
47	0.2077344984
48	0.2070362226
49	0.2064860062
50	0.2058012727
51	0.2050528288
52	0.2042237794
53	0.2036613245
54	0.2030006167
55	0.202225913
56	0.2016246223
57	0.2011051448
58	0.2004924975
59	0.2001736026
60	0.1997583152
61	0.1993026171
62	0.1987823386
63	0.1984520619
64	0.1980158512
65	0.1975895881
666	0.576038343
67	0.575780598
68	0.5755134272
69	0.5751566771
70	0.5748838306
71	0.5747213973
72	0.5743915751
73	0.5740982579774	0.5738352842
75	0.5735317755
76	0.5733106827
77	0.5730738674
78	0.5728434781
79	0.572654245
80	0.5724624699
81	0.5720970493
82	0.5717525432
83	0.5715490951
84	0.5712700009
85	0.5710999289
86	0.5708675925
87	0.5707085575
88	0.5704423677
89	0.5702236197
90	0.5700017858
91	0.5698037258
92	0.5695239058
93	0.5693750969
94	0.5691860629
95	0.5690117095
96	0.5688741028
97	0.5686439079
98	0.5684388519
99	0.568298823
100	0.5681397045
101	0.5679921145
102	0.5678056142
103	0.5676509323
104	0.5674363461
105	0.567352501
106	0.5671451063
107	0.5669103701
108	0.5667640326
109	0.5665565652
110	0.5664054596
111	0.5662941771
112	0.5660795683
113	0.5658945763
114	0.5657469743
115	0.5654814965
116	0.5653629966
117	0.565278558
118	0.5651674678
119	0.5650519551
120	0.5649226659
121	0.5646863155
122	0.5645086666
123	0.5643491886
124	0.5642453667
125	0.5640830771
126	0.5640308779
127	0.5637876915
128	0.5636201471
129	0.5635113783
130	0.5634292733
131	0.5632822126
132	0.5631544677
133	0.5629828218
134	0.5628410496
135	0.5626542284
136	0.5624686617
137	0.5623615012
138	0.5622266232
139	0.5621116834
140	0.5620023035
141	0.5618737649
142	0.561694854
143	0.5615278557
144	0.5613756759
145	0.561249954
146	0.5610598869
147	0.5609093877
148	0.5607571501
149	0.5606189198
150	0.5605173879
151	0.5604183012
152	0.560201958
153	0.5600093353
154	0.5598800111
155	0.5597574394
156	0.5596228555
157	0.5594652638
158	0.559380469
159	0.5591802105
160	0.5590125706
161	0.5589007204
162	0.5587610546
163	0.5586308814
164	0.5584791961
165	0.5583769251
166	0.5582556311
167	0.5581197247
168	0.5580434641
169	0.55794116
170	0.55777001
171	0.5576530606
172	0.5573943378
173	0.5572919868
174	0.5571965034
175	0.5570791972
176	0.5569182849
177	0.5567559215
178	0.5566325675
179	0.5564597842
180	0.5563812165
181	0.5562404687
182	0.5560672402
183	0.5558203905
184	0.5556615393
185	0.5554878669
186	0.5553859005
187	0.5552764572
188	0.5551546019
189	0.5550601699
190	0.5549513822
191	0.5548439036
192	0.5546899231
193	0.5545446362
194	0.554477621
195	0.5543812257
196	0.5542595429
197	0.5541080064
198	0.5539836884
199	0.5538408603
200	0.5537356153
201	0.5536181522
202	0.5535497338
203	0.5533905271
204	0.5532485088
205	0.5530782247
206	0.5529395084
207	0.552839253
208	0.5527369245
209	0.5526005387
210	0.5524484789
211	0.5524254544
212	0.5522812773
213	0.5521814342
214	0.5520696303
215	0.5519743188
216	0.5518633632
217	0.5517649623
218	0.5515851161
219	0.5515127267
220	0.551425644
221	0.5512726906
222	0.5510744885
223	0.5509394179
224	0.5508623318
225	0.5506790892
226	0.550599831
227	0.5504907897
228	0.5503769618
229	0.5503154468
230	0.5501332335
231	0.5500648341
232	0.5499396168
233	0.5498291909
234	0.5496587054
235	0.5494457953
236	0.5493312507
237	0.5492516665
238	0.5490670665
239	0.5489318705
240	0.5488471745
241	0.5487828156
242	0.5486538229
243	0.5485813298
244	0.5484771038
245	0.5483960132
246	0.5483032597
247	0.5481432568
248	0.5479859404
249	0.5477934543
250	0.5476540419
251	0.5475362786
252	0.54740956
253	0.5472427733
254	0.5471416853
255	0.5470874185
256	0.5469496435
257	0.5469013215
258	0.5467910147
259	0.5466155831
260	0.5464864614
261	0.5463664065
262	0.5462612269
263	0.5461247619
264	0.5459789289
265	0.5458742303
266	0.5457231174
267	0.5455355589
268	0.5454334845
269	0.5452429608
270	0.545122111
271	0.5449446796
272	0.5448635836
273	0.5447353786
274	0.5446685283
275	0.544537141
276	0.5443778888
277	0.5442431308
278	0.5440829356
279	0.5439196974
280	0.5437885814
281	0.5436962699
282	0.5435425392
283	0.5433858486
284	0.5432649107
285	0.5431788842
286	0.5430255592
287	0.5428950176
288	0.5427738246
289	0.5425665243
290	0.5423800611
291	0.5422842367
292	0.5421981829
293	0.5421174709
294	0.5419439312
295	0.5417749625
296	0.541534723
297	0.5413632828
298	0.5412274369
299	0.5410305266
300	0.5408678654
301	0.540754775
302	0.5406121873
303	0.5404510927
304	0.5402908619
305	0.5401001816
306	0.5399502532
307	0.5398077444
308	0.5396882211
309	0.539571996
310	0.5394312085
311	0.539313968
